,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
120,ANF,5,5.0,0.5,6.64002061,14.0,0.00169633,5.5,0.00025970715103550954
121,ANG,1,1.0,,6.21170719,13.0,0.00189759,0.0,6.390424586104617e-05
122,ANI,9,9.0,0.08333333,5.72625136,13.0,0.00141856,36062.83333333332,0.0006737265555027969
123,ANK,44,44.0,0.17970402,5.28157282,12.0,0.17241711,40517.21266469721,0.0014373899954389967
124,ANM,5,5.0,0.7,6.19170115,13.0,0.00056942,532.2679735740156,0.00024995176061148666
125,ANR,3,3.0,1.0,5.21764978,12.0,0.04027498,0.0,9.424680887390027e-05
126,ANU,21,21.0,0.38571429,5.02888907,12.0,0.08175144,5138.962648904244,0.0005161624893409026
127,ANV,2,2.0,0.0,7.72599308,15.0,4.6e-07,1.0,0.00021837651307306206
128,ANX,4,4.0,0.66666667,7.26425932,14.0,0.00021418,9.083333333333332,0.00023360084391580403
129,AOI,4,4.0,1.0,5.21985628,12.0,0.05272723,0.0,0.00011351215703162815
130,AOJ,7,7.0,0.95238095,5.25867923,12.0,0.02109196,0.0425531914893617,0.00021166404098550673
131,AOK,3,3.0,0.33333333,5.42208688,12.0,0.00969659,3616.0,0.00015799006553490435
132,AOL,1,1.0,,5.59012151,13.0,0.00321543,0.0,7.489833264116277e-05
133,AOO,4,4.0,0.5,5.81733853,13.0,0.0074745,1.5,0.00019319268358740713
134,AOR,1,1.0,,5.72804252,12.0,0.00450302,0.0,6.695541445535743e-05
135,AOT,4,4.0,0.83333333,5.30270297,12.0,0.03121756,21.04489823153736,0.0001201776608400654
136,APF,4,4.0,1.0,5.89729343,13.0,0.02140196,0.0,0.00011974696843166222
137,APL,5,5.0,0.5,6.26718736,13.0,0.00062164,73.01939141991087,0.000244363523015006
138,APN,2,2.0,0.0,5.58239502,13.0,0.00823977,3616.0,0.00014875054431946673
139,APO,2,2.0,1.0,6.86227238,14.0,0.00033864,0.0,0.00011796989540833588
140,APW,6,6.0,0.4,5.11691145,12.0,0.01078079,7242.073634529939,0.0003025838628886019
141,AQG,2,2.0,1.0,5.62698976,12.0,0.00700335,0.0,8.308643550239213e-05
142,AQI,4,4.0,0.33333333,5.61957653,12.0,0.00871495,3627.725583392877,0.00018472915386631922
143,AQJ,5,5.0,0.7,5.35114971,12.0,0.05122569,1.5243327531079134,0.00013499144458112885
144,AQP,4,4.0,0.33333333,5.96203503,13.0,0.00221549,3617.0,0.0002484164644207796
145,ARC,3,3.0,1.0,7.74815726,15.0,7.25e-06,0.0,0.00020269474148397728
146,ARH,4,4.0,0.5,5.39875443,12.0,0.01541583,7230.000000000002,0.00019811649557175027
147,ARI,2,2.0,0.0,6.8567096,14.0,0.00023773,1.9,0.00012130389690916304
148,ARK,5,5.0,0.4,6.17203748,13.0,0.00083051,3621.18633033633,0.00025956273156405474
149,ARM,5,5.0,0.5,5.88254283,11.0,0.00241073,4560.6185837370085,0.000260227461653912
150,ARP,2,2.0,1.0,8.72869061,13.0,5e-08,0.0,0.00019108370537296074
151,ARR,1,1.0,,7.58747574,15.0,1.16e-06,0.0,0.0001231881414907231
152,ART,3,3.0,0.33333333,5.81731546,13.0,0.00709421,7230.0,0.00021198942300063535
153,ARU,3,3.0,0.66666667,5.77253078,13.0,0.00486204,3.333333333333332,0.00015250853927314996
154,ARW,2,2.0,0.0,6.43222234,13.0,0.01308101,0.3627513227513227,7.755803696910768e-05
155,ASA,1,1.0,,6.69168559,13.0,0.00029558,0.0,7.089461962985746e-05
156,ASB,15,15.0,0.4952381,5.0570457,12.0,0.09266147,802.6025428648883,0.0003654312470211569
157,ASD,2,2.0,1.0,6.03713668,13.0,0.00248941,0.0,0.00012198791178005885
158,ASE,2,2.0,1.0,5.7240607,13.0,0.0124386,0.0,8.75073832807012e-05
159,ASF,1,1.0,,6.37099178,13.0,0.00566627,0.0,6.142069499701699e-05
160,ASI,2,2.0,0.0,9.65086015,17.0,3e-08,3616.0,0.0002565733621650734
161,ASJ,7,7.0,0.42857143,5.31811887,12.0,0.01241965,3139.8550402153937,0.0002710630944868338
162,ASM,7,7.0,0.52380952,5.69171245,12.0,0.01664149,3628.8856002409498,0.00024240793962880444
163,ASO,4,4.0,0.33333333,7.27923059,14.0,6.343e-05,10.666666666666668,0.0002737939830540008
164,ASP,9,9.0,0.47222222,5.81751119,11.0,0.00411284,4098.283137387977,0.00043553254510105536
165,ASR,1,1.0,,5.69012584,13.0,0.00951262,0.0,6.185898490083544e-05
